n_routes,n_route_quarters,n_quarters,total_pax,mean_hhi,mean_carriers,mean_fare,segment,pct_balanced
18445,304990,24,67522219,5525.272774178746,3.6383422407292043,220.981001023749,connecting,0.45806451612903226
4833,73344,24,158244344,8511.584284290237,2.2518951788830717,171.45041874190358,nonstop,0.3877508793709911
