segment,control,outcome,coef,se,ci_lo,ci_hi,n,pct,pct_lo,pct_hi,units
connecting,control_A,log_fare,0.025377003959678096,0.003842864512540985,0.017844012609513443,0.032909995309842746,122997,2.570174125897906,1.800416819037709,3.3457519031449667,percent
connecting,control_A,log_pax,-0.027111906029538523,0.00917095892190087,-0.04508931689217502,-0.009134495166902026,122997,-2.67476773730545,-4.408790107777971,-0.9092902405227976,percent
connecting,control_A,HHI,937.926931709199,30.22017608956447,878.6877042162121,997.166159202186,122997,,,,HHI_points
connecting,control_B,log_fare,-0.01716184028445699,0.004528224978852726,-0.026038999751386516,-0.008284680817527467,79977,-1.701541474398216,-2.570290847654977,-0.8250457424578306,percent
connecting,control_B,log_pax,-0.011956662538014952,0.010992852233101902,-0.03350711613194442,0.00959379105591451,79977,-1.1885465689895014,-3.295197043445741,0.9639958993061803,percent
connecting,control_B,HHI,1163.5000000281816,38.46773255937726,1088.0876258958108,1238.9123741605524,79977,,,,HHI_points
nonstop,control_A,log_fare,0.17021344927333507,0.05725303312741992,0.05783509797222154,0.2825918005744486,12059,18.55578807830771,5.954026096608045,32.65635488030383,percent
nonstop,control_A,log_pax,0.12210411915726561,0.1714576679592322,-0.214439274103838,0.4586475124183692,12059,12.987173694924437,-19.30061843333648,58.19329927604593,percent
nonstop,control_A,HHI,1391.5921154642858,265.4300085703519,870.5963686958771,1912.5878622326945,12059,,,,HHI_points
nonstop,control_B,log_fare,0.08634343819006228,0.056820891691381784,-0.025095093353953185,0.19778196973407774,27849,9.018067369661264,-2.478282905274576,21.869665209769074,percent
nonstop,control_B,log_pax,0.2847990161997145,0.16970047746522152,-0.04802173771870555,0.6176197701181345,27849,32.949479435131536,-4.688693165145774,85.45086274704943,percent
nonstop,control_B,HHI,1635.7619964976568,263.3158973292178,1119.3403766128458,2152.183616382468,27849,,,,HHI_points
