variant,coef,se,ci_lo,ci_hi,p,n,mde_pct,coef_pct,ci_lo_pct,ci_hi_pct
baseline,0.025377003959676972,0.003842864512025503,0.017844012610522795,0.03290999530883115,4.261568875563171e-11,122997,1.0824275543203754,2.570174125897795,1.800416819140449,3.345751903040406
confounded_allowed,0.02272365753045453,0.0034672923448357336,0.015927020731572088,0.02952029432933697,5.904610134166433e-11,143575,0.9761248191740624,2.298380661203381,1.6054531783876724,2.9960337614089116
balanced_routes,0.022488295795593805,0.004180754568037422,0.014292538543480521,0.030684053047707088,7.76907538302396e-08,97220,1.1781602934335167,2.274306370052104,1.4395165221511963,3.115966066253284
placebo_merger,-0.0031918378963967146,0.0025668070810374883,-0.008223432290603336,0.0018397564978099071,0.2137173922934934,63371,0.7217047032443746,-0.3186749397146249,-0.8189712365764268,0.18414498881116348
pax_weighted,0.019554402626806484,0.0044487388570624235,0.010833743540328945,0.028275061713284023,1.1191784323738574e-05,122997,1.2541514386476882,1.9746842258537622,1.0892641041190254,2.867859560754993
